<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2024.02.23	16:07:16.041		1.64797			4
2024.02.23	16:07:16.269		1.64798			4
2024.02.23	16:07:16.377	1.64780	1.64797			6
2024.02.23	16:07:16.481		1.64800			4
2024.02.23	16:07:16.619		1.64796			4
2024.02.23	16:07:16.722		1.64798			4
2024.02.23	16:07:16.826		1.64796			4
2024.02.23	16:07:16.932		1.64797			4
2024.02.23	16:07:17.035	1.64781	1.64799			6
2024.02.23	16:07:17.139	1.64779				2
2024.02.23	16:07:17.305		1.64800			4
2024.02.23	16:07:17.458		1.64799			4
2024.02.23	16:07:17.559		1.64800			4
2024.02.23	16:07:17.712	1.64774	1.64792			6
2024.02.23	16:07:17.813	1.64771	1.64790			6
2024.02.23	16:07:18.451	1.64770	1.64791			6
2024.02.23	16:07:18.656	1.64771				2
2024.02.23	16:07:18.952	1.64770	1.64792			6
2024.02.23	16:07:19.090	1.64771				2
2024.02.23	16:07:19.633	1.64772				2
2024.02.23	16:07:20.007	1.64771				2
2024.02.23	16:07:20.114	1.64772				2
2024.02.23	16:07:20.346	1.64771	1.64791			6
2024.02.23	16:07:20.683	1.64769				2
2024.02.23	16:07:20.786	1.64770	1.64790			6
2024.02.23	16:07:21.105		1.64791			4
2024.02.23	16:07:21.231	1.64772				2
2024.02.23	16:07:21.617	1.64771	1.64790			6
2024.02.23	16:07:21.718		1.64791			4
2024.02.23	16:07:21.922	1.64772				2
2024.02.23	16:07:22.025		1.64792			4
2024.02.23	16:07:22.146	1.64771				2
2024.02.23	16:07:22.264	1.64772				2
2024.02.23	16:07:22.921		1.64791			4
2024.02.23	16:07:23.023	1.64771	1.64790			6
2024.02.23	16:07:23.128	1.64770	1.64791			6
2024.02.23	16:07:23.235	1.64771				2
2024.02.23	16:07:23.353	1.64770				2
2024.02.23	16:07:23.472		1.64790			4
2024.02.23	16:07:23.977		1.64793			4
2024.02.23	16:07:24.328		1.64790			4
2024.02.23	16:07:24.800	1.64769	1.64788			6
2024.02.23	16:07:24.905	1.64770	1.64789			6
2024.02.23	16:07:25.239	1.64769				2
2024.02.23	16:07:25.459	1.64770				2
2024.02.23	16:07:25.765	1.64771	1.64792			6
2024.02.23	16:07:26.074	1.64773	1.64794			6
2024.02.23	16:07:26.177		1.64796			4
2024.02.23	16:07:26.282		1.64794			4
2024.02.23	16:07:26.399	1.64774				2
2024.02.23	16:07:26.776		1.64795			4
2024.02.23	16:07:27.139	1.64775				2
2024.02.23	16:07:27.477	1.64774				2
2024.02.23	16:07:27.890	1.64773	1.64794			6
2024.02.23	16:07:28.265		1.64795			4
2024.02.23	16:07:28.372		1.64794			4
2024.02.23	16:07:28.602	1.64774	1.64795			6
2024.02.23	16:07:28.704	1.64775				2
2024.02.23	16:07:28.813	1.64776				2
2024.02.23	16:07:28.913	1.64777	1.64796			6
2024.02.23	16:07:29.267	1.64776				2
2024.02.23	16:07:29.384	1.64775				2
2024.02.23	16:07:29.492	1.64776	1.64795			6
2024.02.23	16:07:29.630	1.64777				2
2024.02.23	16:07:29.760		1.64797			4
2024.02.23	16:07:29.865	1.64778				2
2024.02.23	16:07:29.968	1.64777	1.64798			6
2024.02.23	16:07:30.300	1.64778				2
2024.02.23	16:07:30.402	1.64779	1.64801			6
2024.02.23	16:07:30.506	1.64777	1.64798			6
2024.02.23	16:07:30.614	1.64778				2
2024.02.23	16:07:30.720	1.64779				2
2024.02.23	16:07:30.827		1.64799			4
2024.02.23	16:07:31.255		1.64800			4
2024.02.23	16:07:31.355		1.64801			4
2024.02.23	16:07:31.582	1.64780				2
2024.02.23	16:07:31.907	1.64778	1.64800			6
2024.02.23	16:07:32.007	1.64775	1.64799			6
2024.02.23	16:07:32.112	1.64777				2
2024.02.23	16:07:32.210	1.64775				2
2024.02.23	16:07:32.312	1.64777				2
2024.02.23	16:07:32.562	1.64776				2
2024.02.23	16:07:33.577	1.64781	1.64802			6
2024.02.23	16:07:34.221		1.64801			4
2024.02.23	16:07:34.646	1.64779	1.64802			6
2024.02.23	16:07:35.024		1.64800			4
2024.02.23	16:07:35.127	1.64775	1.64795			6
2024.02.23	16:07:35.244		1.64796			4
2024.02.23	16:07:35.799	1.64774	1.64795			6
2024.02.23	16:07:36.019	1.64773				2
2024.02.23	16:07:36.123	1.64775				2
2024.02.23	16:07:36.430	1.64774				2
2024.02.23	16:07:36.539		1.64794			4
2024.02.23	16:07:36.637	1.64775				2
2024.02.23	16:07:36.746		1.64795			4
2024.02.23	16:07:36.875		1.64794			4
2024.02.23	16:07:36.982		1.64795			4
2024.02.23	16:07:37.115	1.64776	1.64794			6
2024.02.23	16:07:37.216	1.64778	1.64798			6
2024.02.23	16:07:38.194	1.64777				2
2024.02.23	16:07:38.302	1.64778				2
2024.02.23	16:07:38.995		1.64801			4
2024.02.23	16:07:39.101	1.64777	1.64798			6
2024.02.23	16:07:39.315		1.64796			4
2024.02.23	16:07:39.418	1.64778				2
2024.02.23	16:07:39.675	1.64777	1.64795			6
2024.02.23	16:07:40.249	1.64778				2
2024.02.23	16:07:40.491		1.64797			4
2024.02.23	16:07:40.616		1.64795			4
2024.02.23	16:07:40.731	1.64779	1.64797			6
2024.02.23	16:07:40.878		1.64799			4
2024.02.23	16:07:41.207	1.64778				2
2024.02.23	16:07:41.362	1.64775	1.64795			6
2024.02.23	16:07:41.470	1.64777				2
2024.02.23	16:07:41.598		1.64796			4
2024.02.23	16:07:41.741	1.64778				2
2024.02.23	16:07:42.488		1.64797			4
2024.02.23	16:07:42.596	1.64776	1.64796			6
2024.02.23	16:07:42.804	1.64777				2
2024.02.23	16:07:42.910	1.64776				2
2024.02.23	16:07:43.017	1.64777	1.64794			6
2024.02.23	16:07:43.344	1.64776				2
2024.02.23	16:07:43.568	1.64774				2
2024.02.23	16:07:43.926	1.64776	1.64796			6
2024.02.23	16:07:44.025	1.64773	1.64795			6
2024.02.23	16:07:44.127		1.64794			4
2024.02.23	16:07:44.232	1.64771	1.64793			6
2024.02.23	16:07:44.363	1.64776	1.64792			6
2024.02.23	16:07:44.462		1.64794			4
2024.02.23	16:07:44.564	1.64777				2
2024.02.23	16:07:44.769		1.64796			4
2024.02.23	16:07:44.884	1.64778	1.64797			6
2024.02.23	16:07:44.985	1.64777				2
2024.02.23	16:07:45.203		1.64798			4
2024.02.23	16:07:45.316	1.64778				2
2024.02.23	16:07:45.530	1.64779				2
2024.02.23	16:07:45.743	1.64778				2
2024.02.23	16:07:47.107	1.64777				2
2024.02.23	16:07:47.226		1.64799			4
2024.02.23	16:07:47.351	1.64776	1.64797			6
2024.02.23	16:07:48.198		1.64795			4
2024.02.23	16:07:48.297		1.64798			4
2024.02.23	16:07:48.412		1.64796			4
2024.02.23	16:07:48.730		1.64795			4
2024.02.23	16:07:48.832		1.64796			4
2024.02.23	16:07:49.228	1.64777	1.64798			6
2024.02.23	16:07:49.342	1.64778				2
2024.02.23	16:07:49.833		1.64800			4
2024.02.23	16:07:49.936	1.64775	1.64794			6
2024.02.23	16:07:50.037	1.64774	1.64797			6
2024.02.23	16:07:50.795		1.64798			4
2024.02.23	16:07:51.176	1.64776	1.64799			6
2024.02.23	16:07:51.396	1.64775				2
2024.02.23	16:07:52.529		1.64797			4
2024.02.23	16:07:53.295		1.64798			4
2024.02.23	16:07:53.412	1.64778				2
2024.02.23	16:07:53.530	1.64777				2
2024.02.23	16:07:53.640	1.64775	1.64796			6
2024.02.23	16:07:53.747		1.64795			4
2024.02.23	16:07:53.858	1.64776				2
2024.02.23	16:07:54.171	1.64774				2
2024.02.23	16:07:54.380		1.64796			4
2024.02.23	16:07:54.893	1.64775				2
2024.02.23	16:07:55.234		1.64795			4
2024.02.23	16:07:55.645		1.64796			4
2024.02.23	16:07:55.959	1.64776	1.64795			6
2024.02.23	16:07:57.291	1.64774	1.64796			6
2024.02.23	16:07:57.790		1.64795			4
2024.02.23	16:07:57.891	1.64775				2
2024.02.23	16:07:58.620	1.64777				2
2024.02.23	16:07:58.731	1.64775				2
2024.02.23	16:07:59.472		1.64796			4
2024.02.23	16:07:59.579	1.64777	1.64797			6
2024.02.23	16:07:59.788	1.64775	1.64796			6
2024.02.23	16:08:00.004	1.64775	1.64795			6
2024.02.23	16:08:00.133	1.64774				2
2024.02.23	16:08:00.235		1.64794			4
2024.02.23	16:08:00.336	1.64769	1.64788			6
2024.02.23	16:08:00.442	1.64767	1.64786			6
2024.02.23	16:08:00.537	1.64766				2
2024.02.23	16:08:00.738	1.64764				2
2024.02.23	16:08:01.311	1.64763				2
2024.02.23	16:08:01.413		1.64783			4
2024.02.23	16:08:01.724	1.64761				2
2024.02.23	16:08:02.135	1.64763				2
2024.02.23	16:08:02.341	1.64767	1.64788			6
2024.02.23	16:08:02.440	1.64768	1.64785			6
2024.02.23	16:08:02.543	1.64767				2
2024.02.23	16:08:03.021	1.64765	1.64782			6
2024.02.23	16:08:03.125	1.64764				2
2024.02.23	16:08:03.225		1.64784			4
2024.02.23	16:08:03.692	1.64765	1.64785			6
2024.02.23	16:08:04.038	1.64768				2
2024.02.23	16:08:04.164		1.64787			4
2024.02.23	16:08:04.265	1.64770	1.64788			6
2024.02.23	16:08:04.544	1.64768				2
2024.02.23	16:08:04.700	1.64765	1.64787			6
2024.02.23	16:08:04.801	1.64766				2
2024.02.23	16:08:05.119	1.64769	1.64786			6
2024.02.23	16:08:05.239		1.64785			4
2024.02.23	16:08:05.446		1.64786			4
2024.02.23	16:08:05.946		1.64785			4
2024.02.23	16:08:06.061		1.64784			4
2024.02.23	16:08:06.371		1.64785			4
2024.02.23	16:08:06.926		1.64787			4
2024.02.23	16:08:07.030		1.64785			4
2024.02.23	16:08:07.242	1.64765	1.64784			6
2024.02.23	16:08:07.530	1.64766	1.64783			6
2024.02.23	16:08:07.874	1.64765	1.64784			6
2024.02.23	16:08:07.977	1.64768	1.64783			6
2024.02.23	16:08:08.076	1.64767				2
2024.02.23	16:08:08.178		1.64781			4
2024.02.23	16:08:08.291	1.64761				2
2024.02.23	16:08:08.499	1.64763				2
2024.02.23	16:08:08.602	1.64765	1.64784			6
2024.02.23	16:08:08.702	1.64763				2
2024.02.23	16:08:08.813		1.64783			4
2024.02.23	16:08:09.024	1.64766				2
2024.02.23	16:08:09.125	1.64763	1.64781			6
2024.02.23	16:08:09.233	1.64762				2
2024.02.23	16:08:09.343		1.64782			4
2024.02.23	16:08:09.443		1.64783			4
2024.02.23	16:08:09.544	1.64763				2
2024.02.23	16:08:09.679	1.64765				2
2024.02.23	16:08:09.788		1.64784			4
2024.02.23	16:08:10.157	1.64763	1.64781			6
2024.02.23	16:08:10.367		1.64780			4
2024.02.23	16:08:11.051	1.64761				2
2024.02.23	16:08:11.586	1.64759				2
2024.02.23	16:08:11.936		1.64778			4
2024.02.23	16:08:12.194	1.64756	1.64774			6
2024.02.23	16:08:12.296		1.64776			4
2024.02.23	16:08:12.432	1.64759				2
2024.02.23	16:08:12.540	1.64756	1.64775			6
2024.02.23	16:08:13.010		1.64776			4
2024.02.23	16:08:13.283		1.64774			4
2024.02.23	16:08:13.612	1.64759	1.64782			6
2024.02.23	16:08:13.840		1.64783			4
2024.02.23	16:08:13.939	1.64763	1.64782			6
2024.02.23	16:08:14.043		1.64783			4
2024.02.23	16:08:14.985	1.64762				2
2024.02.23	16:08:15.189	1.64761	1.64779			6
2024.02.23	16:08:15.951	1.64759	1.64776			6
2024.02.23	16:08:16.265	1.64758	1.64775			6
2024.02.23	16:08:16.694		1.64777			4
2024.02.23	16:08:16.803		1.64778			4
2024.02.23	16:08:16.904	1.64757	1.64777			6
2024.02.23	16:08:17.009	1.64758	1.64778			6
2024.02.23	16:08:17.156		1.64779			4
2024.02.23	16:08:17.467	1.64757	1.64778			6
2024.02.23	16:08:17.572		1.64775			4
2024.02.23	16:08:17.673	1.64755	1.64777			6
2024.02.23	16:08:17.782		1.64778			4
2024.02.23	16:08:17.920	1.64757	1.64777			6
2024.02.23	16:08:18.024	1.64762	1.64782			6
2024.02.23	16:08:18.128		1.64783			4
2024.02.23	16:08:18.228	1.64763				2
2024.02.23	16:08:18.328	1.64764	1.64784			6
2024.02.23	16:08:18.430	1.64759	1.64780			6
2024.02.23	16:08:18.539		1.64781			4
2024.02.23	16:08:18.746	1.64760				2
2024.02.23	16:08:19.014		1.64778			4
2024.02.23	16:08:19.116	1.64761				2
2024.02.23	16:08:19.221	1.64760	1.64780			6
2024.02.23	16:08:19.440	1.64758	1.64779			6
2024.02.23	16:08:19.544	1.64760	1.64780			6
2024.02.23	16:08:19.643	1.64761	1.64779			6
2024.02.23	16:08:19.851	1.64760	1.64778			6
2024.02.23	16:08:19.952	1.64759				2
2024.02.23	16:08:20.072	1.64760				2
2024.02.23	16:08:22.332	1.64758				2
2024.02.23	16:08:22.435	1.64759	1.64777			6
2024.02.23	16:08:22.536		1.64779			4
2024.02.23	16:08:22.636	1.64761	1.64780			6
2024.02.23	16:08:22.879	1.64759	1.64779			6
2024.02.23	16:08:22.985	1.64756	1.64777			6
2024.02.23	16:08:23.726		1.64776			4
2024.02.23	16:08:23.952	1.64757	1.64775			6
2024.02.23	16:08:24.164	1.64756	1.64776			6
2024.02.23	16:08:24.274	1.64758				2
2024.02.23	16:08:25.314	1.64763	1.64780			6
2024.02.23	16:08:25.415	1.64767	1.64786			6
2024.02.23	16:08:25.618	1.64765				2
2024.02.23	16:08:25.822	1.64764				2
2024.02.23	16:08:26.590	1.64765				2
2024.02.23	16:08:26.793	1.64764				2
2024.02.23	16:08:26.899	1.64765				2
2024.02.23	16:08:27.124	1.64764				2
2024.02.23	16:08:27.225	1.64765	1.64785			6
2024.02.23	16:08:27.326		1.64786			4
2024.02.23	16:08:27.442		1.64785			4
2024.02.23	16:08:27.607		1.64786			4
2024.02.23	16:08:27.825	1.64763	1.64781			6
2024.02.23	16:08:27.935		1.64779			4
2024.02.23	16:08:28.048	1.64761				2
2024.02.23	16:08:28.172	1.64760	1.64777			6
2024.02.23	16:08:28.272		1.64779			4
2024.02.23	16:08:28.371	1.64762				2
2024.02.23	16:08:28.592		1.64780			4
2024.02.23	16:08:28.897		1.64779			4
2024.02.23	16:08:29.005		1.64780			4
2024.02.23	16:08:29.107		1.64779			4
2024.02.23	16:08:29.499	1.64761				2
2024.02.23	16:08:30.390	1.64762				2
2024.02.23	16:08:30.838	1.64760				2
2024.02.23	16:08:30.945	1.64758	1.64778			6
2024.02.23	16:08:31.049	1.64757	1.64776			6
2024.02.23	16:08:31.167	1.64758	1.64777			6
2024.02.23	16:08:31.603	1.64759				2
2024.02.23	16:08:31.845		1.64778			4
2024.02.23	16:08:31.944	1.64761	1.64781			6
2024.02.23	16:08:32.058	1.64763				2
2024.02.23	16:08:32.877	1.64760	1.64779			6
2024.02.23	16:08:32.980	1.64759				2
2024.02.23	16:08:33.225		1.64777			4
2024.02.23	16:08:33.343	1.64758				2
2024.02.23	16:08:33.446	1.64759	1.64775			6
2024.02.23	16:08:33.697	1.64760	1.64778			6
2024.02.23	16:08:33.902		1.64779			4
2024.02.23	16:08:34.110		1.64780			4
2024.02.23	16:08:34.210		1.64778			4
2024.02.23	16:08:34.569		1.64779			4
2024.02.23	16:08:35.449		1.64781			4
2024.02.23	16:08:35.550		1.64780			4
2024.02.23	16:08:35.855	1.64759	1.64782			6
2024.02.23	16:08:35.955	1.64756	1.64776			6
2024.02.23	16:08:36.262	1.64757				2
2024.02.23	16:08:36.364	1.64756				2
2024.02.23	16:08:36.464	1.64754				2
2024.02.23	16:08:36.566	1.64755				2
2024.02.23	16:08:36.703	1.64754				2
2024.02.23	16:08:37.013	1.64756				2
2024.02.23	16:08:37.229	1.64755				2
2024.02.23	16:08:37.345	1.64754				2
2024.02.23	16:08:37.568	1.64757				2
2024.02.23	16:08:37.680	1.64756				2
2024.02.23	16:08:37.902	1.64754				2
2024.02.23	16:08:38.117	1.64755				2
2024.02.23	16:08:38.778	1.64756				2
2024.02.23	16:08:38.902		1.64777			4
2024.02.23	16:08:39.255		1.64776			4
2024.02.23	16:08:39.406		1.64777			4
2024.02.23	16:08:39.846		1.64776			4
2024.02.23	16:08:40.028	1.64757				2
2024.02.23	16:08:40.171	1.64762	1.64782			6
2024.02.23	16:08:40.276	1.64763				2
2024.02.23	16:08:40.379	1.64764	1.64783			6
2024.02.23	16:08:40.479	1.64765				2
2024.02.23	16:08:40.584	1.64766	1.64782			6
2024.02.23	16:08:40.717		1.64783			4
2024.02.23	16:08:41.222	1.64765	1.64782			6
2024.02.23	16:08:41.807	1.64766				2
2024.02.23	16:08:42.135		1.64784			4
2024.02.23	16:08:42.249		1.64783			4
2024.02.23	16:08:42.465	1.64761	1.64782			6
2024.02.23	16:08:42.568	1.64759	1.64778			6
2024.02.23	16:08:42.677	1.64757	1.64776			6
2024.02.23	16:08:43.028	1.64758	1.64777			6
2024.02.23	16:08:43.364		1.64776			4
2024.02.23	16:08:43.478		1.64777			4
2024.02.23	16:08:43.702		1.64776			4
2024.02.23	16:08:43.843		1.64777			4
2024.02.23	16:08:43.945	1.64757	1.64776			6
2024.02.23	16:08:44.169	1.64758				2
2024.02.23	16:08:44.423		1.64779			4
2024.02.23	16:08:44.644		1.64777			4
2024.02.23	16:08:44.910	1.64757	1.64776			6
2024.02.23	16:08:46.273	1.64756				2
2024.02.23	16:08:46.692	1.64758				2
2024.02.23	16:08:47.691	1.64760	1.64780			6
2024.02.23	16:08:47.794		1.64781			4
2024.02.23	16:08:47.898	1.64761				2
2024.02.23	16:08:48.158		1.64780			4
2024.02.23	16:08:48.270		1.64781			4
2024.02.23	16:08:48.378	1.64759				2
2024.02.23	16:08:49.586	1.64760				2
2024.02.23	16:08:49.698		1.64782			4
2024.02.23	16:08:49.799		1.64781			4
2024.02.23	16:08:50.721		1.64782			4
2024.02.23	16:08:51.077		1.64781			4
2024.02.23	16:08:51.178	1.64763				2
2024.02.23	16:08:51.308		1.64783			4
2024.02.23	16:08:52.522	1.64764	1.64784			6
2024.02.23	16:08:52.936	1.64763				2
2024.02.23	16:08:53.164	1.64765				2
2024.02.23	16:08:53.269	1.64768	1.64788			6
2024.02.23	16:08:53.368	1.64769	1.64790			6
2024.02.23	16:08:53.571	1.64770				2
2024.02.23	16:08:53.976	1.64772				2
2024.02.23	16:08:55.084	1.64775	1.64794			6
2024.02.23	16:08:55.545	1.64774				2
2024.02.23	16:08:55.646	1.64773	1.64792			6
2024.02.23	16:08:55.750		1.64791			4
2024.02.23	16:08:55.967		1.64792			4
2024.02.23	16:08:56.458	1.64772				2
2024.02.23	16:08:56.560		1.64791			4
2024.02.23	16:08:56.830	1.64771				2
2024.02.23	16:08:56.938		1.64788			4
2024.02.23	16:08:57.043	1.64774	1.64794			6
2024.02.23	16:08:57.143	1.64775				2
2024.02.23	16:08:57.252	1.64776				2
2024.02.23	16:08:57.357	1.64775				2
2024.02.23	16:08:57.460	1.64776				2
2024.02.23	16:08:57.775	1.64775				2
2024.02.23	16:08:58.290	1.64776	1.64796			6
2024.02.23	16:08:58.397		1.64795			4
2024.02.23	16:08:59.517		1.64794			4
2024.02.23	16:09:00.164	1.64772	1.64791			6
2024.02.23	16:09:00.689	1.64771	1.64794			6
2024.02.23	16:09:00.795	1.64770	1.64793			6
2024.02.23	16:09:00.908	1.64772				2
2024.02.23	16:09:01.014	1.64770	1.64791			6
2024.02.23	16:09:01.336	1.64771	1.64792			6
2024.02.23	16:09:02.174	1.64769				2
2024.02.23	16:09:02.270	1.64774				2
2024.02.23	16:09:02.472	1.64773				2
2024.02.23	16:09:02.923		1.64791			4
2024.02.23	16:09:03.154	1.64775	1.64795			6
2024.02.23	16:09:03.257	1.64773	1.64794			6
2024.02.23	16:09:03.356	1.64775				2
2024.02.23	16:09:03.457	1.64777	1.64796			6
2024.02.23	16:09:03.560	1.64781	1.64798			6
2024.02.23	16:09:03.903	1.64783				2
2024.02.23	16:09:04.197	1.64781	1.64799			6
2024.02.23	16:09:04.296		1.64798			4
2024.02.23	16:09:04.402		1.64799			4
2024.02.23	16:09:04.737	1.64780				2
2024.02.23	16:09:04.838	1.64781	1.64798			6
2024.02.23	16:09:05.125		1.64799			4
2024.02.23	16:09:05.227	1.64780	1.64798			6
2024.02.23	16:09:05.330	1.64781	1.64799			6
2024.02.23	16:09:05.785		1.64798			4
2024.02.23	16:09:06.039	1.64782	1.64801			6
2024.02.23	16:09:06.241		1.64802			4
2024.02.23	16:09:06.354	1.64780				2
2024.02.23	16:09:06.472	1.64781				2
2024.02.23	16:09:06.809	1.64780				2
2024.02.23	16:09:06.912		1.64801			4
2024.02.23	16:09:07.010	1.64781	1.64798			6
2024.02.23	16:09:07.261	1.64780				2
2024.02.23	16:09:07.363	1.64776	1.64797			6
2024.02.23	16:09:07.465	1.64775				2
2024.02.23	16:09:07.573		1.64798			4
2024.02.23	16:09:07.908		1.64797			4
2024.02.23	16:09:08.179	1.64776	1.64799			6
2024.02.23	16:09:08.287	1.64775				2
2024.02.23	16:09:08.508		1.64798			4
2024.02.23	16:09:09.533	1.64774				2
2024.02.23	16:09:09.632	1.64779				2
2024.02.23	16:09:09.736	1.64778				2
2024.02.23	16:09:09.846	1.64775				2
2024.02.23	16:09:09.953	1.64774	1.64794			6
2024.02.23	16:09:09.961	1.64775				2
2024.02.23	16:09:10.079	1.64776				2
2024.02.23	16:09:10.180	1.64775				2
2024.02.23	16:09:10.490	1.64773	1.64791			6
2024.02.23	16:09:10.593	1.64776	1.64794			6
2024.02.23	16:09:10.864	1.64775				2
2024.02.23	16:09:11.556	1.64774				2
2024.02.23	16:09:11.789	1.64773				2
2024.02.23	16:09:12.215	1.64775				2
2024.02.23	16:09:12.322	1.64774				2
2024.02.23	16:09:12.422		1.64790			4
2024.02.23	16:09:12.522	1.64772				2
2024.02.23	16:09:13.106	1.64773				2
2024.02.23	16:09:14.025	1.64772				2
2024.02.23	16:09:14.916	1.64773				2
2024.02.23	16:09:15.170	1.64772				2
2024.02.23	16:09:15.718	1.64770				2
2024.02.23	16:09:15.861	1.64769	1.64789			6
2024.02.23	16:09:16.072	1.64768	1.64790			6
2024.02.23	16:09:16.184	1.64769				2
2024.02.23	16:09:16.296		1.64789			4
2024.02.23	16:09:16.523		1.64788			4
2024.02.23	16:09:16.858		1.64787			4
2024.02.23	16:09:17.103		1.64788			4
2024.02.23	16:09:17.210		1.64787			4
2024.02.23	16:09:17.328		1.64788			4
2024.02.23	16:09:17.880		1.64789			4
2024.02.23	16:09:17.985		1.64790			4
2024.02.23	16:09:18.379	1.64770				2
2024.02.23	16:09:18.572		1.64787			4
2024.02.23	16:09:18.675		1.64789			4
2024.02.23	16:09:18.775		1.64793			4
2024.02.23	16:09:19.000	1.64771				2
2024.02.23	16:09:19.205	1.64770				2
2024.02.23	16:09:19.838		1.64791			4
2024.02.23	16:09:19.939		1.64790			4
2024.02.23	16:09:20.039	1.64769	1.64788			6
2024.02.23	16:09:20.402		1.64787			4
2024.02.23	16:09:22.234		1.64788			4
2024.02.23	16:09:22.345	1.64770				2
2024.02.23	16:09:22.498		1.64789			4
2024.02.23	16:09:22.750	1.64769	1.64788			6
2024.02.23	16:09:22.873		1.64790			4
2024.02.23	16:09:23.777	1.64770	1.64789			6
2024.02.23	16:09:23.878	1.64772	1.64793			6
2024.02.23	16:09:23.978		1.64794			4
2024.02.23	16:09:24.085		1.64793			4
2024.02.23	16:09:24.189	1.64771				2
2024.02.23	16:09:24.421	1.64775				2
2024.02.23	16:09:24.533		1.64791			4
2024.02.23	16:09:25.012	1.64771				2
2024.02.23	16:09:25.545	1.64775	1.64792			6
2024.02.23	16:09:25.659		1.64791			4
2024.02.23	16:09:25.866	1.64771	1.64793			6
2024.02.23	16:09:26.480		1.64791			4
2024.02.23	16:09:27.030		1.64793			4
2024.02.23	16:09:27.135		1.64791			4
2024.02.23	16:09:27.252		1.64792			4
2024.02.23	16:09:27.361	1.64772	1.64791			6
2024.02.23	16:09:27.857		1.64790			4
2024.02.23	16:09:27.965		1.64791			4
2024.02.23	16:09:28.444	1.64771	1.64792			6
2024.02.23	16:09:28.800		1.64791			4
2024.02.23	16:09:29.384	1.64770				2
2024.02.23	16:09:29.626	1.64773	1.64792			6
2024.02.23	16:09:29.720	1.64777	1.64795			6
2024.02.23	16:09:29.824		1.64798			4
2024.02.23	16:09:29.939	1.64778				2
2024.02.23	16:09:30.167	1.64776	1.64797			6
2024.02.23	16:09:30.546		1.64799			4
2024.02.23	16:09:30.685	1.64777	1.64796			6
2024.02.23	16:09:30.794	1.64778	1.64797			6
2024.02.23	16:09:31.064	1.64776	1.64798			6
2024.02.23	16:09:31.387		1.64799			4
2024.02.23	16:09:31.487		1.64798			4
2024.02.23	16:09:31.601	1.64777				2
2024.02.23	16:09:31.741		1.64801			4
2024.02.23	16:09:32.206	1.64778	1.64799			6
2024.02.23	16:09:32.306	1.64777				2
2024.02.23	16:09:32.437	1.64778	1.64800			6
2024.02.23	16:09:32.651	1.64780				2
2024.02.23	16:09:33.086	1.64779				2
2024.02.23	16:09:33.329		1.64799			4
2024.02.23	16:09:33.439	1.64780				2
2024.02.23	16:09:33.544	1.64777	1.64796			6
2024.02.23	16:09:33.673	1.64778				2
2024.02.23	16:09:33.892		1.64798			4
2024.02.23	16:09:34.107		1.64800			4
2024.02.23	16:09:34.323		1.64801			4
2024.02.23	16:09:34.628		1.64800			4
2024.02.23	16:09:34.782	1.64779	1.64799			6
2024.02.23	16:09:35.085	1.64778				2
2024.02.23	16:09:35.397		1.64798			4
2024.02.23	16:09:35.523		1.64799			4
2024.02.23	16:09:35.902	1.64777	1.64797			6
2024.02.23	16:09:36.015		1.64798			4
2024.02.23	16:09:36.218	1.64778				2
2024.02.23	16:09:36.321	1.64779	1.64797			6
2024.02.23	16:09:36.423	1.64782	1.64800			6
2024.02.23	16:09:36.521	1.64783	1.64804			6
2024.02.23	16:09:36.638	1.64782				2
2024.02.23	16:09:36.774	1.64783				2
2024.02.23	16:09:36.880	1.64784				2
2024.02.23	16:09:37.108	1.64786				2
2024.02.23	16:09:37.332	1.64785				2
2024.02.23	16:09:37.873	1.64786				2
2024.02.23	16:09:38.430	1.64782	1.64803			6
2024.02.23	16:09:38.538		1.64804			4
2024.02.23	16:09:39.002		1.64803			4
2024.02.23	16:09:39.282		1.64804			4
2024.02.23	16:09:39.388		1.64802			4
2024.02.23	16:09:39.489	1.64778	1.64800			6
2024.02.23	16:09:39.598		1.64799			4
2024.02.23	16:09:39.700	1.64779				2
2024.02.23	16:09:39.809	1.64777	1.64798			6
2024.02.23	16:09:39.910	1.64778				2
2024.02.23	16:09:40.135		1.64799			4
2024.02.23	16:09:40.263	1.64779	1.64798			6
2024.02.23	16:09:40.490	1.64778				2
2024.02.23	16:09:40.723	1.64779				2
2024.02.23	16:09:40.942		1.64797			4
2024.02.23	16:09:41.391	1.64778	1.64798			6
2024.02.23	16:09:41.611	1.64784	1.64804			6
2024.02.23	16:09:42.057	1.64783				2
2024.02.23	16:09:42.915	1.64782				2
2024.02.23	16:09:43.017	1.64783				2
2024.02.23	16:09:44.622		1.64803			4
2024.02.23	16:09:45.280	1.64782				2
2024.02.23	16:09:45.625	1.64783				2
2024.02.23	16:09:45.861		1.64804			4
2024.02.23	16:09:45.968		1.64803			4
2024.02.23	16:09:46.077	1.64784				2
2024.02.23	16:09:46.186	1.64783	1.64804			6
2024.02.23	16:09:47.980	1.64781	1.64800			6
2024.02.23	16:09:48.080	1.64780				2
2024.02.23	16:09:48.180	1.64782				2
2024.02.23	16:09:49.553	1.64783				2
2024.02.23	16:09:50.043		1.64801			4
2024.02.23	16:09:51.933		1.64800			4
2024.02.23	16:09:52.200	1.64781	1.64801			6
2024.02.23	16:09:52.309	1.64780				2
