<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.19	00:00:00	18.93500	18.93500	18.92380	18.92990	4	0	1820
2024.01.19	00:05:00	18.95990	18.95990	18.94705	18.94705	4	0	3100
2024.01.19	00:10:00	18.91282	18.94754	18.91282	18.93130	6	0	1820
2024.01.19	00:15:00	18.93130	18.95432	18.93130	18.94885	23	0	1830
2024.01.19	00:20:00	18.94886	18.94888	18.94880	18.94880	5	0	3100
2024.01.19	00:25:00	18.94765	18.94765	18.93490	18.93490	5	0	2020
2024.01.19	00:40:00	18.92132	18.93490	18.92132	18.93490	3	0	2020
2024.01.19	00:50:00	18.93490	18.93490	18.93490	18.93490	1	0	2020
2024.01.19	01:00:00	18.93370	18.93509	18.93138	18.93378	25	0	810
2024.01.19	01:05:00	18.93383	18.93476	18.93378	18.93476	8	0	814
2024.01.19	01:10:00	18.93474	18.93481	18.93378	18.93481	6	0	653
2024.01.19	01:15:00	18.93472	18.93476	18.93378	18.93474	7	0	814
2024.01.19	01:20:00	18.93459	18.93463	18.93378	18.93378	10	0	974
2024.01.19	01:25:00	18.93328	18.93340	18.93328	18.93340	2	0	1097
2024.01.19	01:30:00	18.93328	18.93328	18.93328	18.93328	1	0	1109
2024.01.19	01:35:00	18.93413	18.93413	18.92306	18.92497	14	0	1024
2024.01.19	01:40:00	18.92424	18.93338	18.92424	18.93337	4	0	1099
2024.01.19	01:45:00	18.93336	18.93422	18.93328	18.93328	3	0	1015
2024.01.19	01:50:00	18.93415	18.93418	18.93373	18.93418	4	0	877
2024.01.19	01:55:00	18.93415	18.93423	18.93178	18.93178	6	0	863
2024.01.19	02:00:00	18.93196	18.93395	18.91772	18.92418	27	0	100
2024.01.19	02:05:00	18.92418	18.92490	18.92418	18.92444	20	0	197
2024.01.19	02:10:00	18.92433	18.92482	18.92418	18.92418	22	0	119
2024.01.19	02:15:00	18.92420	18.92504	18.92418	18.92418	6	0	183
2024.01.19	02:20:00	18.92484	18.92484	18.92338	18.92370	16	0	161
2024.01.19	02:25:00	18.92394	18.92394	18.92368	18.92368	4	0	155
2024.01.19	02:30:00	18.92376	18.92395	18.92338	18.92338	3	0	292
2024.01.19	02:35:00	18.92348	18.92538	18.91935	18.92298	82	0	179
